date,symbol,open,high,low,close,volume
2023-04-24,MSFT,1684.12,1702.43,1657.28,1662.14,716824
2024-08-24,MSFT,921.29,927.22,889.39,890.13,1007066
2022-11-07,AMZN,1821.94,1840.13,1806.44,1825.52,249760
2024-10-08,TCS.NS,1648.92,1679.96,1626.77,1664.76,378115
2023-09-29,RELIANCE.NS,2479.01,2564.61,2476.84,2535.34,430442
2024-08-16,TSLA,1017.94,1025.9,1011.7,1021.21,1020154
2022-12-01,RELIANCE.NS,1979.03,1982.95,1954.21,1959.09,553851
2025-05-26,TCS.NS,1493.92,1526.11,1468.61,1492.69,537185
2025-09-17,RELIANCE.NS,1225.77,1237.09,1220.23,1229.24,203784
2025-04-10,AMZN,892.17,902.23,870.64,898.29,1468071
2022-07-23,AMZN,1765.88,1771.5,1708.92,1743.9,1244298
2022-07-09,MSFT,1777.94,1779.72,1710.71,1724.55,912874
2022-10-03,RELIANCE.NS,1851.63,1905.86,1848.17,1880.1,210471
2024-01-21,AAPL,881.62,895.5,878.03,894.79,1078342
2024-10-10,ICICIBANK.NS,517.56,518.86,510.26,510.4,603614
2024-04-13,GOOGL,1921.22,1976.76,1855.75,1877.57,1086255
2025-03-27,INFY.NS,614.12,627.42,609.31,620.0,319977
2025-02-25,MSFT,995.08,996.62,973.51,994.59,1572712
2022-12-20,RELIANCE.NS,2114.27,2171.72,2086.81,2147.54,313783
2023-03-03,INFY.NS,4550.33,4550.55,4303.73,4334.17,654656
2024-05-22,ICICIBANK.NS,1197.67,1203.09,1193.35,1200.37,593228
2022-12-29,TCS.NS,2095.62,2139.65,2091.23,2109.18,654025
2022-12-01,GOOGL,1286.49,1288.84,1252.88,1277.45,869980
2023-03-05,GOOGL,1563.35,1615.84,1545.24,1608.51,577315
2023-10-07,TSLA,933.7,941.87,917.81,922.49,1062054
2024-02-15,ICICIBANK.NS,1025.22,1028.23,978.92,992.61,591252
2023-11-18,AMZN,1191.48,1211.59,1182.55,1209.81,1717376
2024-01-31,ICICIBANK.NS,1111.94,1131.49,1106.04,1126.93,673399
2023-08-25,AAPL,1344.07,1377.56,1339.3,1369.46,1177580
2024-01-25,TSLA,920.79,944.18,917.32,921.77,440694
2023-01-30,MSFT,2311.61,2473.69,2292.97,2429.21,1302995
2024-01-01,ICICIBANK.NS,1320.67,1323.73,1314.84,1322.9,612992
2023-02-05,TCS.NS,2274.29,2325.61,2264.66,2304.49,393482
2023-03-17,TCS.NS,2162.89,2212.25,2158.41,2184.05,519894
2024-02-08,TSLA,924.31,929.5,909.37,924.04,898755
2024-05-27,ICICIBANK.NS,1168.21,1170.11,1124.93,1137.52,344067
2024-08-11,AMZN,1044.02,1053.76,1036.23,1050.56,1137658
2025-01-18,TCS.NS,1619.84,1622.22,1592.92,1615.93,538473
2025-05-05,AAPL,635.17,636.5,603.85,622.65,652263
2023-04-22,GOOGL,1348.77,1432.46,1341.47,1414.05,925011
2023-06-15,HDFCBANK.NS,2309.68,2363.12,2305.66,2341.35,434382
